timestamp,sample_num,value,units
50.031,499,59.250,A
50.131,500,59.625,A
50.231,501,60.125,A
50.331,502,59.438,A
50.431,503,60.188,A
50.531,504,59.500,A
50.632,505,59.812,A
50.732,506,59.500,A
50.832,507,59.688,A
50.932,508,59.938,A
51.032,509,60.125,A
51.132,510,59.312,A
51.232,511,59.688,A
51.333,512,60.000,A
51.433,513,60.062,A
51.533,514,59.875,A
51.633,515,59.562,A
51.734,516,60.250,A
51.834,517,59.938,A
51.934,518,60.375,A
52.034,519,59.562,A
52.134,520,59.688,A
52.234,521,60.125,A
52.334,522,60.125,A
52.435,523,60.000,A
52.535,524,59.938,A
52.635,525,60.312,A
52.735,526,59.562,A
52.835,527,60.375,A
52.935,528,59.812,A
53.036,529,59.312,A
53.136,530,59.875,A
53.236,531,59.375,A
53.336,532,60.562,A
53.437,533,60.250,A
53.537,534,59.562,A
53.637,535,59.375,A
53.737,536,59.938,A
53.838,537,59.625,A
53.938,538,59.750,A
54.038,539,59.688,A
54.139,540,59.688,A
54.239,541,60.500,A
54.339,542,60.188,A
54.440,543,60.250,A
54.540,544,59.438,A
54.640,545,59.625,A
54.740,546,60.000,A
54.840,547,59.188,A
54.940,548,59.375,A
55.040,549,59.875,A
55.141,550,60.250,A
55.241,551,59.688,A
55.341,552,60.250,A
55.441,553,60.625,A
55.541,554,59.688,A
55.641,555,60.062,A
55.741,556,59.938,A
55.842,557,59.625,A
55.942,558,59.375,A
56.042,559,59.688,A
56.142,560,60.125,A
56.242,561,59.625,A
56.342,562,60.312,A
56.443,563,59.750,A
56.543,564,59.688,A
56.643,565,59.625,A
56.743,566,59.500,A
56.843,567,60.250,A
56.943,568,59.875,A
57.043,569,59.625,A
57.144,570,59.312,A
57.244,571,59.625,A
57.344,572,59.438,A
57.444,573,60.188,A
57.544,574,59.938,A
57.644,575,59.688,A
57.744,576,60.500,A
57.845,577,60.562,A
57.945,578,59.938,A
58.045,579,60.312,A
58.145,580,60.312,A
58.245,581,60.188,A
58.345,582,60.062,A
58.446,583,59.750,A
58.546,584,59.438,A
58.646,585,60.125,A
58.746,586,59.375,A
58.846,587,60.250,A
58.946,588,60.125,A
59.046,589,59.938,A
59.147,590,60.375,A
59.247,591,59.062,A
59.347,592,59.438,A
59.447,593,60.688,A
59.547,594,60.250,A
59.648,595,59.812,A
59.748,596,59.688,A
59.848,597,59.812,A
59.948,598,60.125,A
60.048,599,59.500,A
60.148,600,59.562,A
60.248,601,59.625,A
60.349,602,59.875,A
60.449,603,59.938,A
60.549,604,60.062,A
60.649,605,60.688,A
60.749,606,60.250,A
60.849,607,59.875,A
60.949,608,60.000,A
61.050,609,60.000,A
61.150,610,60.000,A
61.250,611,59.938,A
61.350,612,59.875,A
61.450,613,60.062,A
61.550,614,59.812,A
61.651,615,59.875,A
61.751,616,59.250,A
61.851,617,59.062,A
61.951,618,60.125,A
62.051,619,59.250,A
62.151,620,60.000,A
62.251,621,59.812,A
62.352,622,59.250,A
62.452,623,59.625,A
62.552,624,60.375,A
62.652,625,59.875,A
62.752,626,60.125,A
62.852,627,59.062,A
62.952,628,59.750,A
63.053,629,59.750,A
63.153,630,59.500,A
63.253,631,59.750,A
63.353,632,59.750,A
63.453,633,59.812,A
63.553,634,59.812,A
63.653,635,59.812,A
63.754,636,59.375,A
63.854,637,60.125,A
63.954,638,60.062,A
64.054,639,59.688,A
64.154,640,59.750,A
64.254,641,60.188,A
64.355,642,60.000,A
64.455,643,59.750,A
64.555,644,59.750,A
64.655,645,60.000,A
64.755,646,59.688,A
64.855,647,60.000,A
64.955,648,59.062,A
65.056,649,59.438,A
65.156,650,60.562,A
65.256,651,59.625,A
65.356,652,59.812,A
65.456,653,60.438,A
65.556,654,60.188,A
65.656,655,59.938,A
65.757,656,59.750,A
65.857,657,60.000,A
65.957,658,60.250,A
66.057,659,59.625,A
66.157,660,59.562,A
66.257,661,60.188,A
66.358,662,59.875,A
66.458,663,59.812,A
66.558,664,60.000,A
66.658,665,59.688,A
66.758,666,59.000,A
66.858,667,59.438,A
66.958,668,59.688,A
67.059,669,59.812,A
67.159,670,60.000,A
67.259,671,59.250,A
67.359,672,60.250,A
67.459,673,59.938,A
67.559,674,60.000,A
67.659,675,60.125,A
67.760,676,60.250,A
67.860,677,60.375,A
67.960,678,60.000,A
68.060,679,60.438,A
68.160,680,60.250,A
68.260,681,59.750,A
68.360,682,59.500,A
68.461,683,60.000,A
68.561,684,59.875,A
68.661,685,59.750,A
68.761,686,59.875,A
68.861,687,59.750,A
68.961,688,59.562,A
69.062,689,59.562,A
69.162,690,59.500,A
69.262,691,60.250,A
69.362,692,59.562,A
69.462,693,59.750,A
69.562,694,60.000,A
69.662,695,59.312,A
69.763,696,59.562,A
69.863,697,59.750,A
69.963,698,59.688,A
70.063,699,60.312,A
70.163,700,59.812,A
70.263,701,59.688,A
70.364,702,59.688,A
70.464,703,59.750,A
70.564,704,59.688,A
70.664,705,60.000,A
70.764,706,59.938,A
70.864,707,60.250,A
70.965,708,60.375,A
71.065,709,59.625,A
71.165,710,59.875,A
71.265,711,60.312,A
71.365,712,59.750,A
71.465,713,60.000,A
71.565,714,60.250,A
71.665,715,59.938,A
71.766,716,59.688,A
71.866,717,59.375,A
71.966,718,59.750,A
72.066,719,59.625,A
72.166,720,60.250,A
72.266,721,59.750,A
72.366,722,59.688,A
72.467,723,59.438,A
72.567,724,59.625,A
72.668,725,59.625,A
72.768,726,59.500,A
72.869,727,60.688,A
72.969,728,59.750,A
73.070,729,59.625,A
73.170,730,59.500,A
73.270,731,59.688,A
73.370,732,59.562,A
73.470,733,59.688,A
73.571,734,59.188,A
73.671,735,59.938,A
73.771,736,59.500,A
73.871,737,59.938,A
73.971,738,60.062,A
74.071,739,59.750,A
74.172,740,60.438,A
74.272,741,60.188,A
74.372,742,59.188,A
74.474,743,60.312,A
74.574,744,59.812,A
74.674,745,59.438,A
74.774,746,59.938,A
74.874,747,60.438,A
74.974,748,60.312,A
75.075,749,59.625,A
75.175,750,59.312,A
75.275,751,60.250,A
75.375,752,60.188,A
75.475,753,59.875,A
75.575,754,59.750,A
75.675,755,59.500,A
75.776,756,59.625,A
75.876,757,59.375,A
75.976,758,59.938,A
76.076,759,60.812,A
76.177,760,59.250,A
76.277,761,60.188,A
76.377,762,59.938,A
76.477,763,60.125,A
76.577,764,59.562,A
76.678,765,60.188,A
76.779,766,60.000,A
76.879,767,60.000,A
76.979,768,60.062,A
77.079,769,59.875,A
77.180,770,59.688,A
77.280,771,60.188,A
77.380,772,60.250,A
77.480,773,59.812,A
77.580,774,59.188,A
77.680,775,60.000,A
77.781,776,60.000,A
77.881,777,59.812,A
77.981,778,59.812,A
78.083,779,60.188,A
78.183,780,60.062,A
78.284,781,59.812,A
78.384,782,60.312,A
78.484,783,59.688,A
78.584,784,60.562,A
78.685,785,60.062,A
78.785,786,59.188,A
78.885,787,59.312,A
78.985,788,59.562,A
79.085,789,60.250,A
79.185,790,59.875,A
79.285,791,59.875,A
79.386,792,59.812,A
79.486,793,59.312,A
79.586,794,59.750,A
79.686,795,60.000,A
79.786,796,60.250,A
79.886,797,60.375,A
79.986,798,59.812,A
80.086,799,59.188,A
80.187,800,59.938,A
80.288,801,59.562,A
80.389,802,59.750,A
80.489,803,60.000,A
80.589,804,60.062,A
80.690,805,59.375,A
80.790,806,59.750,A
80.891,807,59.938,A
80.991,808,60.250,A
81.092,809,59.875,A
81.192,810,59.688,A
81.292,811,59.625,A
81.392,812,60.000,A
81.493,813,59.938,A
81.593,814,59.750,A
81.694,815,59.875,A
81.795,816,60.188,A
81.895,817,60.500,A
81.995,818,60.375,A
82.095,819,59.500,A
82.196,820,59.750,A
82.296,821,59.438,A
82.396,822,59.438,A
82.497,823,59.812,A
82.597,824,59.750,A
82.697,825,59.812,A
82.797,826,59.938,A
82.897,827,59.250,A
82.997,828,59.562,A
83.098,829,60.125,A
83.198,830,59.438,A
83.298,831,60.000,A
83.398,832,60.312,A
83.498,833,59.562,A
83.598,834,59.750,A
83.698,835,59.625,A
83.799,836,60.250,A
83.899,837,59.875,A
84.000,838,60.500,A
84.100,839,59.750,A
84.200,840,60.000,A
84.300,841,59.062,A
84.400,842,60.312,A
84.501,843,59.688,A
84.601,844,60.125,A
84.701,845,60.188,A
84.802,846,59.750,A
84.902,847,59.938,A
85.003,848,60.438,A
85.103,849,59.688,A
85.203,850,59.562,A
85.303,851,59.938,A
85.403,852,59.500,A
85.504,853,59.500,A
85.604,854,60.125,A
85.704,855,59.688,A
85.804,856,60.438,A
85.904,857,59.938,A
86.004,858,60.438,A
86.104,859,59.688,A
86.206,860,59.938,A
86.306,861,59.625,A
86.407,862,60.688,A
86.507,863,59.438,A
86.608,864,59.938,A
86.708,865,60.000,A
86.808,866,59.438,A
86.909,867,59.750,A
87.009,868,59.562,A
87.109,869,60.125,A
87.209,870,59.750,A
87.309,871,59.438,A
87.409,872,60.125,A
87.509,873,59.875,A
87.610,874,60.000,A
87.710,875,59.875,A
87.810,876,60.312,A
87.911,877,59.750,A
88.011,878,59.688,A
88.111,879,60.375,A
88.211,880,59.688,A
88.311,881,60.250,A
88.412,882,60.000,A
88.512,883,60.312,A
88.612,884,59.562,A
88.713,885,59.625,A
88.813,886,60.000,A
88.913,887,59.875,A
89.013,888,60.188,A
89.113,889,59.875,A
89.213,890,59.500,A
89.315,891,59.438,A
89.415,892,59.375,A
89.515,893,60.250,A
89.616,894,59.562,A
89.716,895,59.688,A
89.816,896,59.625,A
89.916,897,60.250,A
90.016,898,59.312,A
90.116,899,59.375,A
90.217,900,60.125,A
90.317,901,59.625,A
90.417,902,59.938,A
90.518,903,60.188,A
90.619,904,59.625,A
90.719,905,59.750,A
90.819,906,60.312,A
90.919,907,59.562,A
91.020,908,59.750,A
91.120,909,60.625,A
91.220,910,59.750,A
91.321,911,59.438,A
91.421,912,59.438,A
91.521,913,60.000,A
91.621,914,59.625,A
91.721,915,59.875,A
91.821,916,59.750,A
91.921,917,59.250,A
92.021,918,59.875,A
92.122,919,60.125,A
92.222,920,60.500,A
92.322,921,60.375,A
92.422,922,59.312,A
92.522,923,60.000,A
92.623,924,59.812,A
92.723,925,59.688,A
92.823,926,59.938,A
92.923,927,59.875,A
93.023,928,59.750,A
93.123,929,59.625,A
93.223,930,59.500,A
93.324,931,60.125,A
93.425,932,59.938,A
93.525,933,60.562,A
93.625,934,59.625,A
93.725,935,60.062,A
93.826,936,60.250,A
93.926,937,59.875,A
94.026,938,60.125,A
94.126,939,60.375,A
94.228,940,60.062,A
94.328,941,59.562,A
94.428,942,60.688,A
94.528,943,59.562,A
94.628,944,59.312,A
94.728,945,59.562,A
94.829,946,60.250,A
94.929,947,59.625,A
95.029,948,59.875,A
95.129,949,59.312,A
95.229,950,59.812,A
95.330,951,59.812,A
95.430,952,59.938,A
95.531,953,59.875,A
95.631,954,59.688,A
95.732,955,59.688,A
95.833,956,59.812,A
95.933,957,59.812,A
96.034,958,59.938,A
96.134,959,59.250,A
96.234,960,59.500,A
96.336,961,60.250,A
96.436,962,59.750,A
96.536,963,60.125,A
96.636,964,60.125,A
96.736,965,59.438,A
96.836,966,60.000,A
96.937,967,60.438,A
97.037,968,60.062,A
97.138,969,59.625,A
97.238,970,59.938,A
97.338,971,59.000,A
97.439,972,59.000,A
97.539,973,60.062,A
97.639,974,60.062,A
97.739,975,59.688,A
97.840,976,59.875,A
97.940,977,60.000,A
98.041,978,60.125,A
98.141,979,60.250,A
98.241,980,59.625,A
98.341,981,59.688,A
98.441,982,60.500,A
98.541,983,60.125,A
98.641,984,59.500,A
98.742,985,60.438,A
98.842,986,59.938,A
98.942,987,59.188,A
99.042,988,60.000,A
99.142,989,60.375,A
99.242,990,60.500,A
99.342,991,59.625,A
99.443,992,59.625,A
99.543,993,60.375,A
99.643,994,59.812,A
99.743,995,59.438,A
99.843,996,59.938,A
99.943,997,59.375,A
100.044,998,60.000,A
100.144,999,58.812,A
100.244,1000,59.938,A
100.344,1001,59.875,A
100.444,1002,60.125,A
100.544,1003,60.375,A
100.645,1004,59.750,A
100.745,1005,59.688,A
100.845,1006,59.938,A
100.945,1007,60.250,A
101.046,1008,59.875,A
101.146,1009,59.938,A
101.247,1010,60.188,A
101.347,1011,60.500,A
101.447,1012,60.062,A
101.548,1013,59.375,A
101.648,1014,59.500,A
101.748,1015,59.875,A
101.849,1016,59.938,A
101.949,1017,60.062,A
102.049,1018,60.688,A
102.150,1019,59.688,A
102.250,1020,60.188,A
102.350,1021,59.938,A
102.450,1022,59.875,A
102.550,1023,60.250,A
102.650,1024,59.500,A
102.750,1025,59.125,A
102.851,1026,59.312,A
102.951,1027,60.000,A
103.051,1028,59.625,A
103.152,1029,59.938,A
103.252,1030,60.000,A
103.352,1031,59.438,A
103.452,1032,59.750,A
103.554,1033,60.375,A
103.654,1034,60.062,A
103.754,1035,59.500,A
103.854,1036,59.438,A
103.954,1037,59.875,A
104.054,1038,59.938,A
104.154,1039,60.500,A
104.255,1040,59.875,A
104.355,1041,59.938,A
104.455,1042,59.062,A
104.556,1043,60.625,A
104.656,1044,59.688,A
104.757,1045,59.750,A
104.857,1046,59.500,A
104.957,1047,60.312,A
105.058,1048,59.812,A
105.158,1049,59.500,A
105.259,1050,59.625,A
105.359,1051,59.812,A
105.460,1052,59.938,A
105.560,1053,59.688,A
105.661,1054,60.188,A
105.761,1055,60.125,A
105.862,1056,59.625,A
105.962,1057,60.312,A
106.063,1058,59.125,A
106.163,1059,60.312,A
106.263,1060,60.438,A
106.363,1061,59.750,A
106.463,1062,59.875,A
106.563,1063,59.438,A
